sweep,seed,n_local,beta_over_mu,lambda_reg,kappa_g,algorithm,mix_rounds,grad_evals_per_node,reached,avg_sq,gap
kappa,0,,,0.0001,1021.0,ACC-SONATA-L,7644,2185,True,9.83e-05,4.82e-05
kappa,0,,,0.0001,1021.0,ACC-SONATA-F,3720,1086,True,9.95e-05,4.88e-05
kappa,1,,,0.0001,1007.0,EXTRA,37511,37511,True,0.0001,4.93e-05
kappa,1,,,0.0001,1007.0,GradientTracking,50000,25001,False,0.263,0.129
kappa,1,,,0.0001,1007.0,MUDAG,43309,10828,True,9.99e-05,4.92e-05
kappa,1,,,0.0001,1007.0,ACC-SONATA-L,9156,2617,True,9.67e-05,4.76e-05
kappa,1,,,0.0001,1007.0,ACC-SONATA-F,4992,1457,True,9.99e-05,4.92e-05
kappa,2,,,0.0001,1005.0,EXTRA,18775,18775,True,0.0001,5.05e-05
kappa,2,,,0.0001,1005.0,GradientTracking,50000,25001,False,0.000787,0.000398
kappa,2,,,0.0001,1005.0,MUDAG,22645,5662,True,9.99e-05,5.05e-05
kappa,2,,,0.0001,1005.0,ACC-SONATA-L,5096,1457,True,9.76e-05,4.95e-05
kappa,2,,,0.0001,1005.0,ACC-SONATA-F,2568,750,True,9.42e-05,4.76e-05
kappa,0,,,0.001,1020.0,EXTRA,29781,29781,True,0.0001,4.91e-05
kappa,0,,,0.001,1020.0,GradientTracking,50000,25001,False,0.0268,0.0131
kappa,0,,,0.001,1020.0,MUDAG,44456,8892,True,9.99e-05,4.9e-05
kappa,0,,,0.001,1020.0,ACC-SONATA-L,7644,2185,True,9.75e-05,4.79e-05
kappa,0,,,0.001,1020.0,ACC-SONATA-F,3720,1086,True,9.87e-05,4.85e-05
kappa,1,,,0.001,1007.0,EXTRA,37471,37471,True,0.0001,4.93e-05
kappa,1,,,0.001,1007.0,GradientTracking,50000,25001,False,0.261,0.129
kappa,1,,,0.001,1007.0,MUDAG,43281,10821,True,9.99e-05,4.93e-05
kappa,1,,,0.001,1007.0,ACC-SONATA-L,9128,2609,True,9.96e-05,4.91e-05
kappa,1,,,0.001,1007.0,ACC-SONATA-F,4992,1457,True,9.9e-05,4.88e-05
kappa,2,,,0.001,1004.0,EXTRA,18752,18752,True,0.0001,5.06e-05
kappa,2,,,0.001,1004.0,GradientTracking,50000,25001,False,0.000783,0.000396
kappa,2,,,0.001,1004.0,MUDAG,22625,5657,True,0.0001,5.06e-05
kappa,2,,,0.001,1004.0,ACC-SONATA-L,5096,1457,True,9.71e-05,4.92e-05
kappa,2,,,0.001,1004.0,ACC-SONATA-F,2568,750,True,9.37e-05,4.74e-05
kappa,0,,,0.01,1011.0,EXTRA,29455,29455,True,0.0001,4.95e-05
kappa,0,,,0.01,1011.0,GradientTracking,50000,25001,False,0.0253,0.0125
kappa,0,,,0.01,1011.0,MUDAG,44161,8833,True,0.0001,4.95e-05
kappa,0,,,0.01,1011.0,ACC-SONATA-L,7588,2169,True,9.77e-05,4.84e-05
kappa,0,,,0.01,1011.0,ACC-SONATA-F,3696,1079,True,9.78e-05,4.84e-05
kappa,1,,,0.01,997.4,EXTRA,37075,37075,True,0.0001,4.98e-05
kappa,1,,,0.01,997.4,GradientTracking,50000,25001,False,0.247,0.123
kappa,1,,,0.01,997.4,MUDAG,43013,10754,True,9.99e-05,4.97e-05
kappa,1,,,0.01,997.4,ACC-SONATA-L,9072,2593,True,9.86e-05,4.91e-05
kappa,1,,,0.01,997.4,ACC-SONATA-F,4968,1450,True,9.61e-05,4.78e-05
kappa,2,,,0.01,995.6,EXTRA,18534,18534,True,0.0001,5.1e-05
kappa,2,,,0.01,995.6,GradientTracking,50000,25001,False,0.000741,0.000378
kappa,2,,,0.01,995.6,MUDAG,22461,5616,True,9.99e-05,5.1e-05
kappa,2,,,0.01,995.6,ACC-SONATA-L,5040,1441,True,9.94e-05,5.07e-05
kappa,2,,,0.01,995.6,ACC-SONATA-F,2544,743,True,9.47e-05,4.83e-05
kappa,0,,,0.1,926.5,EXTRA,26516,26516,True,0.0001,5.4e-05
kappa,0,,,0.1,926.5,GradientTracking,50000,25001,False,0.0147,0.00794
kappa,0,,,0.1,926.5,MUDAG,41466,8294,True,9.99e-05,5.4e-05
kappa,0,,,0.1,926.5,ACC-SONATA-L,7084,2025,True,9.75e-05,5.27e-05
kappa,0,,,0.1,926.5,ACC-SONATA-F,3456,1009,True,9.45e-05,5.11e-05
kappa,1,,,0.1,914.8,EXTRA,33504,33504,True,0.0001,5.42e-05
kappa,1,,,0.1,914.8,GradientTracking,50000,25001,False,0.145,0.0789
kappa,1,,,0.1,914.8,MUDAG,40533,10134,True,0.0001,5.42e-05
kappa,1,,,0.1,914.8,ACC-SONATA-L,8484,2425,True,9.97e-05,5.41e-05
kappa,1,,,0.1,914.8,ACC-SONATA-F,4632,1352,True,9.86e-05,5.35e-05
kappa,2,,,0.1,915.0,EXTRA,16565,16565,True,0.0001,5.55e-05
kappa,2,,,0.1,915.0,GradientTracking,50000,25001,False,0.000434,0.000241
kappa,2,,,0.1,915.0,MUDAG,20913,5229,True,0.0001,5.55e-05
kappa,2,,,0.1,915.0,ACC-SONATA-L,4704,1345,True,9.61e-05,5.46e-05
kappa,2,,,0.1,915.0,ACC-SONATA-F,2352,687,True,9.65e-05,5.36e-05
